usuario,op,co,ex,ag,ne,wordcount,categoria,imagen
3gerardpique,34.3,28.15,41.95,29.37,9.84,37.09,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
aguerosergiokun,44.99,20.53,37.94,24.28,10.36,78.8,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
albertochicote,41.73,13.75,39,34.65,8.84,49.26,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
AlejandroSanz,40.38,15.38,52.34,31.08,5.03,80.45,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
alfredocasero1,36.66,19.64,48.53,31.14,7.31,47.06,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
alo_oficial,33.53,16.18,43.21,25.79,11.93,40.14,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
andresiniesta8,31.85,13.74,47.18,19.59,6.91,91.52,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
andykusnetzoff,31.87,16.59,55.38,36.26,7.46,66.28,5,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
andyroddick,46.39,25.45,39.93,16.66,8.45,145.15,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
andy_murray,39.44,26.14,32.97,32.29,10.96,177.56,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
AngelAlessandra,52.75,24.71,41.7,17.06,8.28,97.29,3,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
antoniobanderas,41.33,20.24,39.17,21.07,7.82,32.88,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
aplusk,54.41,26.99,34.1,18.77,8.87,125.34,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
AvrilLavigne,47.61,20.34,39.44,21.44,8.87,128.86,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
BarackObama,39.44,20.09,41.48,21,13.81,178.19,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
BarRefaeli,48.62,21.17,43.62,19.26,5.18,58.58,3,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Berto_Romero,40.07,25.93,44.19,33.92,8.78,49.28,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
BillGates,43.37,24.36,43.79,21.07,11.35,201.05,6,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
britneyspears,49.79,19.21,41.44,16.43,7.04,109.64,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Buenafuente,30.02,14.7,44.3,39.12,5.91,70.14,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
CarlosAuryn,36.91,23.63,51.95,34.69,6.73,38.11,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
carmenelectra,50.59,19.28,41.38,17.9,11.23,143.82,3,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Carrie_Br4dshaw,34.19,14.97,18.69,9.68,7.2,5.02,3,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
CasillasWorld,31.22,17.51,44.18,32.87,9.38,87.82,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
celinedion,47.28,29.77,41.97,12.4,7.29,79.42,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
cesarmillan,45.37,23.93,35.93,23.48,8.45,159.77,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
CFKArgentina,35.94,22.85,45.52,28.02,6.52,75.52,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
charliesheen,36.27,15.04,40.07,28.71,12.41,122.77,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
ChristianG_7,44.5,17.86,46.6,29.54,2.91,26.69,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
CindyCrawford,49.03,22.51,38.45,19.79,7.54,111.8,3,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Clyburn,34.24,33.4,41.23,14.15,14.42,185.4,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
CourteneyCox,53.11,20.18,39.01,17.21,4.09,118.53,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Courtney,49.29,22.64,42.12,21.01,8.39,114.18,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Cristiano,52.9,26.41,38.62,19.97,6.88,116.34,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
CristiPedroche,30.69,12.71,59.82,33.4,3.48,62.3,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
DaniMateoAgain,34.95,19.22,50.18,36.33,9.63,60.39,5,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
DANIROVIRA,41.77,23.9,49.87,30.07,2.55,50.56,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
davidbisbal,30.83,16.4,55.91,29.49,4.52,87.99,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
David_Busta,38.95,7.85,44.46,27.35,2.07,102.71,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Diane_Keaton,46.96,23.5,35.38,23.75,4.93,150.94,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
DidacLee,45.05,22.04,48.95,24.37,6.09,30.82,6,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
drexlerjorge,45.09,16.45,50.77,25.71,5.82,61.32,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
edans,42.44,23.41,45.78,24.75,6.75,43.56,6,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
EdwardNorton,40.05,22.14,37.72,30.57,7.86,183.77,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
